Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sinaloa<C1>,2.455561469654,2.409137822337,2.420443496648,2.364446988834,2.307095739387,2.300217344715,2.299721452513,2.305029910678,2.305393227037,2.309772119992,2.302952897739,2.299013291425,2.312986611544,2.346564216469,2.338048116262
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sonora<C1>,2.490351881541,2.48521998985,2.494890193898,2.457344371167,2.429242500234,2.432183624722,2.460036089003,2.495781385664,2.517832452605,2.526617736911,2.531662823236,2.531107186749,2.454001605907,2.441185019185,2.421020603412
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tabasco<C1>,1.60542296574,1.601413756387,1.630391861403,1.631596436988,1.620503423184,1.632180317643,1.634202708966,1.613291885182,1.624688165901,1.637161847928,1.656517335346,1.633898061297,1.618967385763,1.536218409169,1.482242650717
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tamaulipas<C1>,2.889546013355,2.862871131414,2.880851635095,2.845332638162,2.831051400101,2.793147448572,2.755148035989,2.74203277118,2.759019876425,2.742985161018,2.753489827469,2.705476972417,2.705344871698,2.637311412838,2.621628633551
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tlaxcala<C1>,0.578370708461,0.569513019203,0.563540391111,0.574894398994,0.563108276324,0.574087155303,0.582595138491,0.570590902643,0.569156459253,0.559104309964,0.563923612667,0.557481729066,0.55450859444,0.543568446055,0.538231091329
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,4.831537168069,4.813595953692,4.785248680364,4.773843814943,4.752699132767,4.676384226875,4.74002887938,4.732963571492,4.693828160856,4.6823679584,4.584655899726,4.64625695342,4.634408374278,4.472134744691,4.434492216224
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Yucatán<C1>,1.508306566473,1.515766070321,1.536486524157,1.516369010049,1.505193992608,1.512750015875,1.519335101534,1.504923491545,1.496212536564,1.511401514448,1.534093635568,1.520567729199,1.53408100281,1.522699342901,1.513480275061
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Zacatecas<C1>,0.804426139016,0.791185908439,0.796828258057,0.793959259552,0.793017932411,0.787420421436,0.808418346893,0.810732428367,0.80363934626,0.797149708927,0.797093331883,0.805162441468,0.788349912321,0.7759072516,0.778213823766
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,75.495793265835,78.548816339505,80.668500790184,84.231144693028,86.807011602492,88.841757356502,85.180595233098,89.994227466221,94.0336568364,97.870238105975,100,102.663344162354,107.027341550766,111.170205572722,114.578742549194
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Aguascalientes<C1>,75.046851424116,77.972032559803,79.662167832884,82.652757174041,86.848094145629,90.025044919745,84.759333686097,88.608008523525,93.464302805652,97.695329202142,100,105.041252941954,110.875783469899,123.815440161288,130.155325442168
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California<C1>,77.152994882476,80.215527919593,83.469586979968,86.545748656494,88.902890683255,89.385158284965,83.942168095983,88.716421295273,93.497437913322,97.195856540516,100,100.809871431969,106.296932229861,111.891060498864,115.234758617496
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California Sur<C1>,62.866908942515,67.871806750173,74.607841984752,80.659788184143,87.973912654348,87.384584046671,83.226426349415,90.41161786056,95.068848377537,100.219813568182,100,100.789160246773,107.079774548717,114.201760336086,121.347680725571
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Campeche<C1>,75.143448816869,79.112633431107,82.323531027091,85.273796626699,86.578519585547,90.151958168269,86.214575994583,89.612544450526,94.621121894615,97.834574938226,100,103.190092519035,104.252885309381,99.902549897678,98.905318010077
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,73.896075690263,77.096263586024,79.950363937408,83.623167217875,86.558079836172,88.041714690353,83.62511752587,89.95005525933,94.602650553046,98.544113989581,100,100.932876002737,105.15755932037,108.711310941156,112.827960954239
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Colima<C1>,71.23585573015,73.209101179026,75.949916627178,80.097905089586,83.948479131171,86.084881349819,83.799160530875,90.01921580571,94.401583905234,98.781897280661,100,104.577471207104,106.626829020683,115.436629681633,123.002185435039
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chiapas<C1>,78.735564337241,81.283847559111,83.836271831397,84.825895086493,88.828408443439,89.239273279352,87.7411684043,90.338179585622,94.661950442489,97.377957112296,100,105.108579525206,106.095675834342,109.443122348087,110.647096493558
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chihuahua<C1>,76.497619931401,79.132598630146,81.975588709025,87.288814772476,90.308577182828,93.544974510488,86.023260077383,90.780758006113,94.782481484194,98.726230143909,100,101.446201413896,106.922198614349,111.313853725724,114.604790210282
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Ciudad de México<C1>,77.408674375645,80.951077882461,82.16899460875,85.826062036401,87.678239198871,89.945669224751,86.645162836349,90.785270660807,93.851734369421,97.657841603801,100,101.948714283291,107.237852618909,111.958399204535,115.418403974737
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Durango<C1>,76.983262498223,80.215911445044,82.609198615251,85.252850848542,87.097040191948,89.014499302356,86.151991479576,91.343199360174,94.548633693211,97.830785410758,100,102.005667951756,105.121087978218,109.823706832148,107.797511976884
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guanajuato<C1>,73.266340646877,75.22583751848,76.955194354637,80.42462120509,83.194775607941,85.960580746708,82.712821325086,89.156754929703,94.197959977723,97.912568468419,100,101.401368640449,106.82072058173,111.675565298087,117.959808281434
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guerrero<C1>,86.630859422618,91.23595036164,92.209668693638,93.032130739446,94.181377992136,94.224338945911,92.227399271204,96.951157963667,98.938457537153,100.628740854569,100,103.2415855957,107.332091379215,108.830711233637,109.842360717941
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Hidalgo<C1>,72.223039055994,74.178941566822,75.460355519588,79.094167752012,80.812304327839,84.378190351134,79.948191086769,86.657855695683,91.769769014239,95.123618329056,100,102.959356867117,107.902564545631,113.298848503186,116.876972972231
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Jalisco<C1>,75.857027868967,78.851886274666,80.712859696584,84.038276760857,86.479579981096,88.879534331346,85.381168380641,90.141631360258,93.927371442359,97.846107655049,100,102.637916249162,106.130974014294,113.01142302871,115.58444064805
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|México<C1>,72.263558709832,74.411006652704,76.963598867323,81.287133333101,84.173270357441,86.106554083749,82.940202727562,88.279880733341,93.023726674394,97.95995852037,100,104.918466998545,108.001459545391,112.387417125516,116.709179011689
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,79.02043499162,80.585739114122,82.840337076596,85.877165645436,86.833530278009,88.644920318169,87.570420290597,91.192578923759,94.709984149758,98.008335017861,100,105.353584765446,109.710468882517,113.918942034999,118.278021693468
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Morelos<C1>,82.917287980705,85.17674320309,87.102146546722,89.744792371808,89.6296476475,89.345789424865,84.801580559401,88.284059632381,92.217620719114,96.121192303794,100,100.280031703497,104.642167921692,107.791159575292,110.379627276253
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Nayarit<C1>,76.240596557847,78.991867122144,81.841283899937,85.726091157108,84.881880848666,89.821201019811,87.579684898421,93.858243471389,96.595286997892,96.108107335316,100,103.65714787971,111.542764691207,116.018363480763,120.930695384222
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Nuevo León<C1>,69.277186358344,73.087058203426,75.37980487276,80.346177992986,85.026768102716,87.550137068828,82.110860071374,87.879986380788,93.040915285508,97.93242795968,100,103.37374960876,107.028045454959,111.262885049366,115.724567859333
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Oaxaca<C1>,83.661049344842,87.455645543153,90.881488038623,92.582677115094,93.696911472389,95.292133243292,92.189119249691,95.286438854707,97.778941110092,99.414423153465,100,101.65175198808,106.682471796727,107.352202598465,108.39708976113
